zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
Poland,2008,329.428,37995902.0,388394800371.402,1124.428,10222.01816320618,2.8950645037594928e-09,0.2929738498151949,-0.0644863996768108,4.451127464269389,-2.483898053156064,-3.604984480243001,-0.17632347080362942,-1.8785649396101167
Poland,2009,315.886,38002153.0,398551823849.317,1085.191,10487.611684772624,2.7228353630876494e-09,0.29108792830017943,0.0164517741939596,2.5982493606051316,-5.949060563182229,-0.643716671711525,-0.1326855837937675,-4.11076168388843
Poland,2010,334.028,38095356.0,411181642127.603,1157.25,10793.484700014433,2.8144495800249462e-09,0.2886394469647872,0.24525715687739869,2.916517358150439,3.3646623728806,-0.8411483601158731,0.05792263066334247,5.743211158455908
Poland,2011,333.406,38208644.0,432791139408.41,1162.666,11327.047864049035,2.6864366992107765e-09,0.28675991213297714,0.29738007960864454,4.9433818536277485,-4.548416206235073,-0.6511704659825535,-0.22738719534762808,-0.18621193432886152
Poland,2012,325.778,38247867.0,439333996551.267,1127.927,11486.496660095243,2.5673565188538266e-09,0.28882897563406146,0.1026547814677814,1.4076818422590343,-4.432644193400625,0.7215316414676654,-0.08712530932406581,-2.28790123753021
Poland,2013,321.757,38259267.0,442340098156.254,1131.318,11561.645918523584,2.557575053031635e-09,0.28440898138277654,0.02980558366822983,0.6542400233259471,-0.38099366996207085,-1.5303153852835538,-0.0070126538794568205,-1.2342761021309046
Poland,2014,309.415,38265113.0,459682079851.439,1089.354,12013.085649360006,2.3697987103435915e-09,0.2840353089996457,0.015279958186331655,3.9046320395709877,-7.3419680280921495,-0.1313855776684969,-0.2823723758416219,-3.835813983844949
Poland,2015,312.549,38266314.0,480054118583.367,1103.013,12545.083871505549,2.297684692832083e-09,0.2833593076418864,0.0031386291737822702,4.428489379611511,-3.043044001870221,-0.23799905727922566,-0.13770580673715394,1.0128791428986927
Poland,2016,323.3,38263260.0,494605411858.337,1150.245,12926.37929591825,2.3255811044975966e-09,0.28107055453403407,-0.00798090978921806,3.0394011576021507,1.2141096536239182,-0.8077211674814233,0.0019719084398461817,3.4397806423952737
Poland,2017,336.505,38254964.0,520089746650.75,1208.289,13595.353184772308,2.323231726410843e-09,0.2784971145148222,-0.021681372679693833,5.175261173601009,-0.10102327036497494,-0.9155850649237185,-0.052529770612531834,4.084441695020091
